StudentID,Professor Name,CourseID,ExamDuration(in mins)
1209,Osman Serdar Gedik,CENG307,120
1210,Yusuf Evren Aykaç,CENG113,60
1211,Fatih Nar,CENG114,90
1212,Ahmet Esad Top,CENG317,120
1213,Fadi Yilmaz,CENG303,45
1214,Mustafa Yeniad,CENG301,45
1215,Şükrü Torun,CENG305,90
1216,Fadi Yilmaz,CENG303,120
1217,Osman Serdar Gedik,CENG307,45
1218,Fadi Yilmaz,CENG303,120
1219,Metin Aktaş,PHYS101,60
1220,Şükrü Torun,CENG305,120
1221,Furkan Soysal,CHEM101,60
1222,Yusuf Evren Aykaç,CENG113,45
1223,Ahmet Esad Top,CENG317,90
1224,Furkan Soysal,CHEM101,45
1225,Osman Serdar Gedik,CENG307,90
1226,Fadi Yilmaz,CENG303,60
1227,Furkan Soysal,CHEM101,45
1228,Mustafa Yeniad,CENG301,120
1229,Ahmet Esad Top,CENG317,90
1230,Osman Serdar Gedik,CENG307,60
1231,Mustafa Yeniad,CENG301,60
1232,Furkan Soysal,CHEM101,90
1233,Yusuf Evren Aykaç,CENG113,120
1234,Ahmet Esad Top,CENG317,60
1235,Fadi Yilmaz,CENG303,90
1236,Şükrü Torun,CENG305,45
1237,Yusuf Evren Aykaç,CENG113,120
1238,Fadi Yilmaz,CENG303,120
1239,Fatih Nar,CENG114,45
1240,Şükrü Torun,CENG305,90
1241,Şükrü Torun,CENG305,60
1242,Şükrü Torun,CENG305,60
1243,Fadi Yilmaz,CENG303,90
1244,Ahmet Esad Top,CENG317,90
1245,Arzu Erman,TİT101,60
1246,Mustafa Yeniad,CENG301,90
1247,Metin Aktaş,PHYS101,60
1248,Metin Aktaş,PHYS101,60
1249,Mustafa Yeniad,CENG301,45
1250,Şükrü Torun,CENG305,90
1251,Fadi Yilmaz,CENG303,90
1252,Fatih Nar,CENG114,60
1253,Arzu Erman,TİT101,120
1254,Osman Serdar Gedik,CENG307,120
1255,Fadi Yilmaz,CENG303,90
1256,Furkan Soysal,CHEM101,90
1257,Yusuf Evren Aykaç,CENG113,120
1258,Şükrü Torun,CENG305,120
1259,Yusuf Evren Aykaç,CENG113,120
1260,Furkan Soysal,CHEM101,45
1261,Osman Serdar Gedik,CENG307,90
1262,Fadi Yilmaz,CENG303,45
1263,Furkan Soysal,CHEM101,60
1264,Fadi Yilmaz,CENG303,90
1265,Osman Serdar Gedik,CENG307,60
1266,Mustafa Yeniad,CENG301,120
1267,Yusuf Evren Aykaç,CENG113,45
1268,Metin Aktaş,PHYS101,120
1269,Fatih Nar,CENG114,90
1270,Fatih Nar,CENG114,120
1271,Fadi Yilmaz,CENG303,90
1272,Fatih Nar,CENG114,120
1273,Arzu Erman,TİT101,120
1274,Yusuf Evren Aykaç,CENG113,45
1275,Şükrü Torun,CENG305,60
1276,Fatih Nar,CENG114,90
1277,Arzu Erman,TİT101,90
1278,Furkan Soysal,CHEM101,45
1279,Fatih Nar,CENG114,90
1280,Metin Aktaş,PHYS101,90
1281,Mustafa Yeniad,CENG301,120
1282,Mustafa Yeniad,CENG301,45
1283,Osman Serdar Gedik,CENG307,120
1284,Metin Aktaş,PHYS101,45
1285,Furkan Soysal,CHEM101,45
1286,Arzu Erman,TİT101,60
1287,Fadi Yilmaz,CENG303,45
1288,Fatih Nar,CENG114,90
1289,Furkan Soysal,CHEM101,60
1290,Metin Aktaş,PHYS101,45
1291,Şükrü Torun,CENG305,90
1292,Yusuf Evren Aykaç,CENG113,90
1293,Şükrü Torun,CENG305,90
1294,Arzu Erman,TİT101,60
1295,Metin Aktaş,PHYS101,60
1296,Arzu Erman,TİT101,120
1297,Ahmet Esad Top,CENG317,60
1298,Fatih Nar,CENG114,90
1299,Furkan Soysal,CHEM101,45
